Algebra y Trigonometria,1,Ciencias Basicas,3
Calculo Diferencial,1,Ciencias Basicas,3
Geometria Vectorial y Analitica,1,Ciencias Basicas,3
Vivamos la Universidad,1,Ciencias Basicas,1
Ingles I,1,Formacion Complementaria,1
Lectoescritura,1,Formacion Complementaria,3
Introduccion a la Ingenieria Industrial,1,Generales,1
Gestion de las Organizaciones,2,Administracion y Finanzas,3
Habilidades Gerenciales,2,Administracion y Finanzas,3
Algebra Lineal,2,Ciencias Basicas,3
Calculo Integral,2,Ciencias Basicas,3
Descubriendo la Fisica,2,Ciencias Basicas,3
Ingles II,2,Formacion Complementaria,1
Gestion Contable,3,Administracion y Finanzas,3
Fisica Mecanica,3,Ciencias Basicas,3
Ingles III,3,Formacion Complementaria,1
Algoritmia y Programacion,3,Metodos Cuantitativos,3
Probabilidad e Inferencia Estadistica,3,Metodos Cuantitativos,3
Teoria General de Sistemas,3,Metodos Cuantitativos,3
Ingenieria Economica,4,Administracion y Finanzas,3
Electiva en Fisica,4,Ciencias Basicas,3
Ingles IV,4,Formacion Complementaria,1
Diseno de Experimentos y Analisis de Regresion,4,Metodos Cuantitativos,3
Optimizacion,4,Metodos Cuantitativos,3
Gestion de Metodos y Tiempos,4,Produccion Logistica y Calidad,4
Gestion Financiera,5,Administracion y Finanzas,3
Laboratorio Integrado de Fisica,5,Ciencias Basicas,1
Ingles V,5,Formacion Complementaria,1
Formacion Ciudadana y Constitucional,5,Formacion Complementaria,1
Dinamica de Sistemas,5,Metodos Cuantitativos,3
Muestreo y Series de Tiempo,5,Metodos Cuantitativos,3
Procesos Estocasticos y Analisis de Decision,5,Metodos Cuantitativos,3
Gestion por Procesos,5,Produccion Logistica y Calidad,3
Gestion Tecnologica,6,Administracion y Finanzas,3
Legislacion,6,Administracion y Finanzas,3
Electiva en Humanidades I,6,Electivas Socio Humanisticas,3
Ingles VI,6,Formacion Complementaria,1
Simulacion Discreta,6,Metodos Cuantitativos,3
Formulacion de Proyectos de Investigacion,6,Generales,3
Normalizacion y Control de la Calidad,6,Produccion Logistica y Calidad,3
Formulacion y Evaluacion de Proyectos de Inversion,7,Administracion y Finanzas,3
Emprendimiento,7,Administracion y Finanzas,2
Electiva en Humanidades II,7,Electivas Socio Humanisticas,3
Enfasis Profesional I,7,Enfasis Profesional,3
Electiva Complementaria I,7,Formacion Complementaria,3
Diseno de Sistemas Productivos,7,Produccion Logistica y Calidad,3
Gestion de Proyectos,8,Administracion y Finanzas,3
Electiva en Humanidades III,8,Electivas Socio Humanisticas,3
Enfasis Profesional I,8,Enfasis Profesional,3
Electiva Complementaria I,8,Formacion Complementaria,3
Administracion de la Produccion y del Servicio,8,Produccion Logistica y Calidad,3
Electiva en Humanidades IV,9,Electivas Socio Humanisticas,3
Enfasis Profesional I,9,Enfasis Profesional,3
Electiva Complementaria I,9,Formacion Complementaria,3
Gestion de la Cadena de Abastecimiento,9,Produccion Logistica y Calidad,3
Ingenieria del Mejoramiento Continuo,9,Produccion Logistica y Calidad,3
Practica Profesional,10,Generales,12
